x,y,z,,x,y,z,,x,y,z
-31.9291334,14.55733761,0,,-54.85052129,5.991097003,0,,-22.92138789,-8.566240607,0
-31.84167615,14.47575423,0,,-55.06774966,5.934410467,0,,-23.22607351,-8.541343763,0
-31.74757809,14.41407849,0,,-55.27043511,5.870401691,0,,-23.52285702,-8.543676799,0
-31.64978468,14.36953423,0,,-55.45073875,5.798226051,0,,-23.80095407,-8.571308179,0
-31.55551973,14.34157853,0,,-55.60154365,5.70994062,0,,-24.04602392,-8.63163791,0
-31.47368053,14.31446726,0,,-55.7178746,5.63171327,0,,-24.24419407,-8.68275399,0
-31.41327224,14.28106971,0,,-55.79321046,5.558030822,0,,-24.37993822,-8.723038888,0
-31.38292513,14.22345293,0,,-55.82457528,5.506878356,0,,-24.44165015,-8.716574574,0
-31.38533475,14.16134408,0,,-55.82158813,5.481315769,0,,-24.43625338,-8.680028311,0
-31.42246278,14.10012436,0,,-55.78892723,5.477550129,0,,-24.36646445,-8.622574231,0
-31.48960187,14.02442951,0,,-55.7325015,5.515461689,0,,-24.24289963,-8.508967821,0
-31.57426085,13.98137571,0,,-55.65264329,5.568576919,0,,-24.07838244,-8.412798791,0
-31.67199392,13.98601977,0,,-55.55543902,5.627785592,0,,-23.8834451,-8.358234178,0
-31.77742704,14.02136636,0,,-55.44389653,5.695081164,0,,-23.66646949,-8.326285196,0
-31.88749828,14.08532236,0,,-55.31949119,5.764405276,0,,-23.43199291,-8.320917084,0
-32.00021517,14.16635703,0,,-55.18820451,5.833209721,0,,-23.18798934,-8.333147309,0
-32.1169614,14.24650692,0,,-55.05343206,5.899996164,0,,-22.93647066,-8.346510756,0
-32.23716262,14.31505005,0,,-54.91208687,5.974064351,0,,-22.67492425,-8.340985699,0
-32.35864088,14.40265628,0,,-54.75320492,6.037415695,0,,-22.39456404,-8.365240585,0
-32.47823105,14.49779336,0,,-54.5750375,6.094264176,0,,-22.09680645,-8.403529184,0
-32.60116655,14.60064105,0,,-54.38185574,6.149125953,0,,-21.78068919,-8.451515097,0
-32.72676958,14.692934,0,,-54.17160284,6.209351888,0,,-21.44483326,-8.483582112,0
-32.8560556,14.77677391,0,,-53.94402741,6.282286754,0,,-21.08797181,-8.494487156,0
-32.98466978,14.86342927,0,,-53.68949868,6.346732371,0,,-20.7048289,-8.516696899,0
-33.10384095,14.9471906,0,,-53.40099252,6.403316908,0,,-20.29715157,-8.543873692,0
-33.20970231,15.05519953,0,,-53.08129455,6.431584615,0,,-19.87159224,-8.623614915,0
-33.30248544,15.19703076,0,,-52.735507,6.410243875,0,,-19.43302156,-8.786786885,0
-33.38626748,15.34471343,0,,-52.36401984,6.361779964,0,,-18.97775236,-8.982933466,0
-33.46959534,15.4860238,0,,-51.96166376,6.293429854,0,,-18.49206842,-9.192593946,0
-33.56111932,15.58941912,0,,-51.52519667,6.237365321,0,,-17.96407735,-9.352053799,0
-33.66591368,15.65018478,0,,-51.05221054,6.181835286,0,,-17.38629686,-9.468349494,0
-33.78837175,15.67611346,0,,-50.5461357,6.141957851,0,,-16.75776395,-9.534155609,0
-33.92826341,15.65519644,0,,-50.007947,6.125217548,0,,-16.07968359,-9.529978892,0
-34.081795,15.60797187,0,,-49.43991483,6.10278752,0,,-15.35811983,-9.50518435,0
-34.23995524,15.55907171,0,,-48.83509222,6.072127129,0,,-14.59513698,-9.486944581,0
-34.39466241,15.51547644,0,,-48.18832129,6.015164038,0,,-13.79365888,-9.500312402,0
-34.54551479,15.489499,0,,-47.49844849,5.927346472,0,,-12.9529337,-9.562152528,0
-34.69319758,15.47894737,0,,-46.75915186,5.810276082,0,,-12.06595428,-9.668671288,0
-34.83961303,15.4879003,0,,-45.96403094,5.662681004,0,,-11.12441791,-9.825219296,0
-34.98908922,15.46497659,0,,-45.1103438,5.492214744,0,,-10.12125458,-9.972761846,0
-35.13896819,15.45487508,0,,-44.19531466,5.302206873,0,,-9.05634647,-10.15266821,0
-35.29511778,15.43542702,0,,-43.22567612,5.098633768,0,,-7.93055834,-10.33679325,0
-35.46294767,15.39725216,0,,-42.21027598,4.901190938,0,,-6.74732831,-10.49606122,0
-35.64229386,15.34969142,0,,-41.15250964,4.688810348,0,,-5.51021578,-10.66088107,0
-35.83028083,15.29216012,0,,-40.04631246,4.448720928,0,,-4.21603163,-10.84343919,0
